epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1384,1.75809,3.0698,1.82619,0.44191,0.27799,0.26942,0.12023,1.8307,3.17377,2.06298,0.00032963,0.00032963,0.00032963
2,35.6456,1.60267,2.21973,1.67611,0.54116,0.355,0.3687,0.15186,1.95315,2.8911,2.16635,0.000630146,0.000630146,0.000630146
3,51.8843,1.58691,2.11714,1.67021,0.46403,0.42439,0.39118,0.18241,1.93795,2.76146,2.21757,0.000897663,0.000897663,0.000897663
4,68.1829,1.56164,1.99782,1.64912,0.5512,0.50749,0.46901,0.2153,1.76921,3.01889,1.95681,0.0008515,0.0008515,0.0008515
5,84.5354,1.51383,1.8494,1.59911,0.62557,0.40197,0.45068,0.20744,1.79062,2.34674,1.98957,0.000802,0.000802,0.000802
6,101.033,1.4955,1.79719,1.59323,0.69879,0.46392,0.54417,0.25281,1.75364,2.1001,1.9438,0.0007525,0.0007525,0.0007525
7,117.748,1.48529,1.71494,1.57093,0.4888,0.53738,0.53232,0.24449,1.72088,2.13631,1.96747,0.000703,0.000703,0.000703
8,134.445,1.47056,1.69361,1.57382,0.72464,0.50054,0.60271,0.28341,1.66393,1.85968,1.89449,0.0006535,0.0006535,0.0006535
9,151.136,1.45604,1.63665,1.54186,0.67766,0.55744,0.6581,0.30175,1.71576,1.82009,1.9133,0.000604,0.000604,0.000604
10,167.578,1.43556,1.57729,1.53033,0.5566,0.58092,0.56333,0.26912,1.73052,1.86601,1.89916,0.0005545,0.0005545,0.0005545
11,184.673,1.4889,1.67925,1.65003,0.60406,0.51763,0.63222,0.30021,1.65094,1.77644,1.82633,0.000505,0.000505,0.000505
12,200.98,1.45862,1.58738,1.6293,0.6076,0.56093,0.62522,0.30301,1.63903,1.78159,1.86401,0.0004555,0.0004555,0.0004555
13,217.396,1.43291,1.51911,1.60388,0.75106,0.54835,0.6499,0.33183,1.57835,1.62348,1.76874,0.000406,0.000406,0.000406
14,233.761,1.41368,1.49127,1.59013,0.607,0.66935,0.69108,0.35156,1.52893,1.57508,1.76372,0.0003565,0.0003565,0.0003565
15,250.249,1.39413,1.45679,1.58846,0.56025,0.69586,0.69859,0.35315,1.57664,1.52379,1.76912,0.000307,0.000307,0.000307
16,266.501,1.37006,1.40121,1.55026,0.70546,0.59413,0.69319,0.35929,1.54734,1.52147,1.71951,0.0002575,0.0002575,0.0002575
17,282.815,1.33742,1.35827,1.52728,0.60623,0.67213,0.70211,0.35973,1.54749,1.44749,1.72652,0.000208,0.000208,0.000208
18,299.125,1.32886,1.3274,1.51638,0.68082,0.67393,0.734,0.37887,1.54602,1.40799,1.71787,0.0001585,0.0001585,0.0001585
19,315.557,1.29669,1.29806,1.49673,0.67907,0.66206,0.72296,0.37935,1.52429,1.44076,1.7152,0.000109,0.000109,0.000109
20,331.991,1.26188,1.26632,1.48887,0.67332,0.6866,0.74142,0.39543,1.49938,1.38194,1.69419,5.95e-05,5.95e-05,5.95e-05
